0,"1199/213","70/213","2693/142","14753/426","1079/426","11705/213","2503/213","23/6","341/426","82/213","1103/213","76/213","57/142","8/71","17/142","74/213","66/71","3/71","83/426",0,0,0,"7/426",0,0,0,0,"1/142","1/426",0,0,0,"1301/213","25/426","7307/426","6063/71","125/426","617/142","11/426","8/71",0,0,0,0,0,0,"1/426",0,0,0,0,"5/426",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"22/213",0,"1/426","1/213",0,0,0
"66/71","61/426",0,"29/426","110/213","835/426","2765/426","2381/142","4108/213","20009/426","10661/426","62/213","74/213","3865/426","2339/213","3176/213","29959/426",0,"6407/142","36037/213","4631/426","8927/426","2843/213","3017/426","328/71","87/142","1/426",0,"100/213","67/426","1285/213","285/142","277/142","4336/213","337/142","1121/426","12173/426","602/213","1/426","2329/426","11/213",0,0,0,0,0,0,0,0,0,0,"1/426",0,0,0,"17/426",0,"1/142",0,0,0,"1/213",0,0,0,0,0,0,0,0,0,0,0,0,0,"1/213","3/142",0,0,0,0,0,"2/213"
"3/71","3/142",0,"1/426","37/142","371/213","331/426","85/426","393/142","1228/213","247/426","5/426","22/213","241/426","131/71","1571/426","3283/71","6407/142",0,"16433/426","254/213","4307/426","17017/426","12163/426","9613/213","1463/213","17/142","19/426","8555/426","2038/213","1062/71","2811/142","4015/426","8385/142","503/426","33/142","2203/213","85/213",0,"7327/213","217/426",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1/213",0,"1/213","1/426",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5/213","1/426",0,0,0,0,0,"1/71"
"83/426","11/213",0,"17/142","35/142","260/213","604/213","374/71","406/71","1747/142","1961/426","79/142","449/213","593/142","1867/142","2033/426","6161/426","36037/213","16433/426",0,"346/213","1973/426","3545/213","2437/426","105/71","47/71",0,0,"1/6","17/213","545/426","45/142","115/426","743/213","316/213","553/426","808/213","27/71","8/213","2737/213","11/426",0,0,0,0,0,0,0,"1/142",0,0,0,0,"1/426","1/213","7/426",0,0,"5/426",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1/426","7/426","1/426",0,0,0,0,0,"5/426"
0,0,0,0,0,0,"1/213",0,"5/426","11/213","1/426",0,0,"1/213","5/426","1/213","1/142","4631/426","254/213","346/213",0,"1859/213","1931/142","463/426","73/213","5/426",0,0,"4/213",0,"1/426",0,"1/426","2/71",0,0,"1/426",0,0,"1/71","1/426",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1/426","1/426",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,"1/71","7/213","7/142",0,"5/142","61/426",0,0,"1/426",0,"10/213","5/142","21/71","8927/426","4307/426","1973/426","1859/213",0,"13840/213","740/71","2149/426","5/142",0,0,"49/213","4/71","14/213","5/142","1/71","20/71",0,0,"25/213","1/426",0,"31/213","1/142",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1/213",0,"1/426","1/426",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,"2/71","7/71","11/213",0,"95/426","69/142",0,0,0,0,"1/6","25/213","33/71","2843/213","17017/426","3545/213","1931/142","13840/213",0,"25771/426","4908/71","140/71","1/142","1/426","1357/213","343/142","325/213","164/213","47/426","1667/426","8/213","1/142","39/71","3/142",0,"313/71","31/426",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1/426",0,0,"1/426",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7/426","4/213",0,0,"61/213","107/142","38/213","1/142","73/213","331/213","1/426",0,"3/71","5/213","74/71","62/71","265/71","3017/426","12163/426","2437/426","463/426","740/71","25771/426",0,"1047/71","743/426","5/213","1/426","383/213","151/142","787/426","35/142","5/213","337/426","10/213","1/213","35/213","4/213","1/426","563/213","3/142",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1/426",0,0,0,0,"1/213","1/142",0,"1/426","7/426",0,0,0,0,0,0,0,0,0,0,"2/213","1/426",0,0,0,"1/142",0,"1/426"
0,0,0,0,"2/213","47/426",0,0,"31/426","77/213",0,0,0,0,"5/142","55/426","199/213","328/71","9613/213","105/71","73/213","2149/426","4908/71","1047/71",0,"501/142","116/213","59/426","4574/213","4123/213","1923/142","2801/426","9/71","1052/213","7/142","5/426","94/213","1/426",0,"2833/426","141/142",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,"1/213","3/142","1/213",0,"1/426","13/426",0,0,"11/213","2/71","211/426","17/426","127/213","87/142","1463/213","47/71","5/426","5/142","140/71","743/426","501/142",0,"109/71","1/426","1243/426","413/142","1351/426","66/71","5/426","95/426","107/213","11/426","7/426","23/426","20/213","2195/426","8/71",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1/426",0,0,0,0,0,0,"7/426"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1/426","1/426","17/142",0,0,0,"1/142","5/213","116/213","109/71",0,"16/213","167/213","32/71","13/142","209/426","1/213","61/71","1/426",0,"7/213",0,"1/426","1037/426","16/71",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"19/426",0,0,0,"1/426","1/426","59/426","1/426","16/213",0,"97/426","50/213","7/71","182/213",0,"815/426",0,0,"59/426","1/213",0,"101/426","164/213",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/142",0,0,"1/426",0,"5/426","4/213","1/426","1/426","11/426",0,0,0,0,"7/426","3/142","23/71","100/213","8555/426","1/6","4/213","49/213","1357/213","383/213","4574/213","1243/426","167/213","97/426",0,"9783/142","2390/71","3076/213","10/71","1505/142","35/426",0,"121/213","5/213",0,"1273/142","1153/213",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/426",0,0,0,0,0,0,0,0,"1/213",0,0,0,0,"4/213","1/71","40/213","67/426","2038/213","17/213",0,"4/71","343/142","151/142","4123/213","413/142","32/71","50/213","9783/142",0,"4706/213","4358/213","133/426","1347/142","17/426","1/213","89/213","2/213",0,"1653/142","463/213",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,"1/426","1/426","4/71","1/426","1/426","1/142","11/71","10/213","1/426",0,"43/426","137/426","27/142","384/71","1285/213","1062/71","545/426","1/426","14/213","325/213","787/426","1923/142","1351/426","13/142","7/71","2390/71","4706/213",0,"4232/213","913/426","1943/213","61/142","16/213","83/71","43/426",0,"1557/71","185/426",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1/142",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1/426",0,0,0,0,0,0,0
0,0,0,0,0,"1/426",0,0,"2/213","23/213","13/426",0,0,"5/142","13/213","11/71","1147/426","285/142","2811/142","45/142",0,"5/142","164/213","35/142","2801/426","66/71","209/426","182/213","3076/213","4358/213","4232/213",0,"2611/426","5357/426","208/213","19/426","430/213","70/213",0,"9475/426","416/213",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1/213",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7/426"
